Timestamp,Event,Process Name,Window Title,PID,Local IP,Remote IP,Action Taken,Details
13-03-2025 16:07:18,Monitoring Started,,,,,,System initialized,
13-03-2025 16:07:18,Window switch,Cursor.exe,config.py - demo - Cursor,,,,Suspicious activity detected,
13-03-2025 16:07:23,Network Activity,MpDefenderCoreService.exe,,4336,192.168.0.102,20.189.173.1,Monitored,Process 'MpDefenderCoreService.exe' connected to 20.189.173.1 (Unknown)
13-03-2025 16:07:23,Network Activity,Cursor.exe,,12176,192.168.0.102,3.231.66.58,Monitored,Process 'Cursor.exe' connected to 3.231.66.58 (ec2-3-231-66-58.compute-1.amazonaws.com)
13-03-2025 16:07:23,Network Activity,WhatsApp.exe,,17208,192.168.0.102,163.70.144.61,Monitored,Process 'WhatsApp.exe' connected to 163.70.144.61 (whatsapp-chatd-edge-shv-02-bom2.facebook.com)
13-03-2025 16:07:23,Network Activity,mysqld.exe,,6784,127.0.0.1,127.0.0.1,Monitored,Process 'mysqld.exe' connected to 127.0.0.1 (kubernetes.docker.internal)
13-03-2025 16:07:28,Network Activity,SearchHost.exe,,12292,192.168.0.102,40.104.56.210,Monitored,Process 'SearchHost.exe' connected to 40.104.56.210 (Unknown)
13-03-2025 16:07:33,Network Activity,Cursor.exe,,12176,192.168.0.102,104.18.19.125,Monitored,Process 'Cursor.exe' connected to 104.18.19.125 (Unknown)
13-03-2025 16:07:37,Network Activity,StartMenuExperienceHost.exe,,14740,192.168.0.102,20.24.249.45,Monitored,Process 'StartMenuExperienceHost.exe' connected to 20.24.249.45 (Unknown)
13-03-2025 16:07:42,Network Activity,Cursor.exe,,12176,192.168.0.102,104.18.18.125,Monitored,Process 'Cursor.exe' connected to 104.18.18.125 (Unknown)
13-03-2025 16:07:42,Mouse Click,,,,,,Mouse Pressed,"(1195, 1050)"
13-03-2025 16:07:42,Mouse Click,,,,,,Mouse Released,"(1195, 1050)"
13-03-2025 16:07:42,Mouse Click,,,,,,Mouse Pressed,"(1833, 0)"
13-03-2025 16:07:42,Mouse Click,,,,,,Mouse Released,"(1833, 0)"
13-03-2025 16:07:42,Mouse Click,,,,,,Mouse Pressed,"(1603, 891)"
13-03-2025 16:07:43,Mouse Click,,,,,,Mouse Released,"(1603, 891)"
13-03-2025 16:07:46,Network Activity,svchost.exe,,5680,192.168.0.102,172.172.255.218,Monitored,Process 'svchost.exe' connected to 172.172.255.218 (Unknown)
13-03-2025 16:07:46,Mouse Click,,,,,,Mouse Pressed,"(1629, 31)"
